MEANING	CLUSTER_ALGO	Precision	Recall	F-score	ARI	# of. Predicted Clusters	# of. Gold Clusters	ALPHA
louse	Socher	0.9052795031055901	0.47192028985507245	0.6204179926385581	0.41373990280242	9	5	0.1
louse	Socher	0.8623188405797102	0.5226449275362318	0.6508279542374006	0.4225254644146969	8	5	0.1
louse	Socher	0.6090250329380764	0.6983695652173914	0.6506444925801884	0.22222837676904755	5	5	0.1
louse	Socher	0.5555555555555556	0.779891304347826	0.6488808501017409	0.18280312284242392	4	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
louse	Socher	0.5119565217391304	0.8858695652173914	0.6489029008046522	0.11489702861151475	3	5	0.1
