,socher_original,socher_dialign,socher_SW,original_dialign,original_sw,original,weighted_PW,weighted_SW
LIGURIAN_GENOESE,0.6381926406926407,0.6381926406926407,0.6381926406926407,0.6381926406926407,0.6381926406926407,0.6381926406926407,0.6381926406926407,0.6381926406926407
LIGURIAN_RAPALLO,0.6271212121212122,0.6271212121212122,0.6271212121212122,0.6271212121212122,0.6271212121212122,0.6271212121212122,0.6271212121212122,0.6271212121212122
LIGURIAN_STELLA,0.6909704184704185,0.6909704184704185,0.6909704184704185,0.6909704184704185,0.6909704184704185,0.6909704184704185,0.6909704184704185,0.6909704184704185
LOMBARD_BERGAMO,0.6481529581529581,0.6481529581529581,0.6481529581529581,0.6481529581529581,0.6481529581529581,0.6481529581529581,0.6481529581529581,0.6481529581529581
LOMBARD_PLESIO,0.6254743867243867,0.6254743867243867,0.6254743867243867,0.6254743867243867,0.6254743867243867,0.6254743867243867,0.6254743867243867,0.6254743867243867
NEAPOLITAN_CALABRESE,0.6424621212121211,0.6424621212121211,0.6424621212121211,0.6424621212121211,0.6424621212121211,0.6424621212121211,0.6424621212121211,0.6424621212121211
NONES,0.6112878787878788,0.6112878787878788,0.6112878787878788,0.6112878787878788,0.6112878787878788,0.6112878787878788,0.6112878787878788,0.6112878787878788
NONES_FASSANO,0.7377958152958153,0.7377958152958153,0.7377958152958153,0.7377958152958153,0.7377958152958153,0.7377958152958153,0.7377958152958153,0.7377958152958153
NONES_GARDENESE,0.6824675324675324,0.6824675324675324,0.6824675324675324,0.6824675324675324,0.6824675324675324,0.6824675324675324,0.6824675324675324,0.6824675324675324
OCCITAN_ARANESE,0.6743470418470419,0.6743470418470419,0.6743470418470419,0.6743470418470419,0.6743470418470419,0.6743470418470419,0.6743470418470419,0.6743470418470419
PIEMONTESE_BARBANIA,0.6364844877344877,0.6364844877344877,0.6364844877344877,0.6364844877344877,0.6364844877344877,0.6364844877344877,0.6364844877344877,0.6364844877344877
PIEMONTESE_CARMAGNOLA,0.6241251803751804,0.6241251803751804,0.6241251803751804,0.6241251803751804,0.6241251803751804,0.6241251803751804,0.6241251803751804,0.6241251803751804
PIEMONTESE_LANZO_TORINESE,0.6474585137085137,0.6474585137085137,0.6474585137085137,0.6474585137085137,0.6474585137085137,0.6474585137085137,0.6474585137085137,0.6474585137085137
PIEMONTESE_VERCELLESE,0.6358910533910535,0.6358910533910535,0.6358910533910535,0.6358910533910535,0.6358910533910535,0.6358910533910535,0.6358910533910535,0.6358910533910535
PORTUGUESE,0.6457305194805194,0.6457305194805194,0.6457305194805194,0.6457305194805194,0.6457305194805194,0.6457305194805194,0.6457305194805194,0.6457305194805194
ROMAGNOL_RAVENNATE,0.619164862914863,0.619164862914863,0.619164862914863,0.619164862914863,0.619164862914863,0.619164862914863,0.619164862914863,0.619164862914863
ROMANIAN,0.5973556998556999,0.5973556998556999,0.5973556998556999,0.5973556998556999,0.5973556998556999,0.5973556998556999,0.5973556998556999,0.5973556998556999
ROMANIAN_2,0.637501909854851,0.637501909854851,0.637501909854851,0.637501909854851,0.637501909854851,0.637501909854851,0.637501909854851,0.637501909854851
ROMANIAN_MEGLENO,0.636337481962482,0.636337481962482,0.636337481962482,0.636337481962482,0.636337481962482,0.636337481962482,0.636337481962482,0.636337481962482
ROMANSH_GRISHUN,0.6683712121212121,0.6683712121212121,0.6683712121212121,0.6683712121212121,0.6683712121212121,0.6683712121212121,0.6683712121212121,0.6683712121212121
ROMANSH_SURMIRAN,0.6671699134199134,0.6671699134199134,0.6671699134199134,0.6671699134199134,0.6671699134199134,0.6671699134199134,0.6671699134199134,0.6671699134199134
ROMANSH_SURSILVAN,0.6807900432900433,0.6807900432900433,0.6807900432900433,0.6807900432900433,0.6807900432900433,0.6807900432900433,0.6807900432900433,0.6807900432900433
ROMANSH_VALLADER,0.6241161616161616,0.6241161616161616,0.6241161616161616,0.6241161616161616,0.6241161616161616,0.6241161616161616,0.6241161616161616,0.6241161616161616
SARDINIAN,0.5253625541125542,0.5253625541125542,0.5253625541125542,0.5253625541125542,0.5253625541125542,0.5253625541125542,0.5253625541125542,0.5253625541125542
SARDINIAN_CAMPIDANESE,0.5808751665001666,0.5808751665001666,0.5808751665001666,0.5808751665001666,0.5808751665001666,0.5808751665001666,0.5808751665001666,0.5808751665001666
SARDINIAN_LOGUDARESE,0.521715367965368,0.521715367965368,0.521715367965368,0.521715367965368,0.521715367965368,0.521715367965368,0.521715367965368,0.521715367965368
SICILIAN_UnnamedInSource,0.601478243978244,0.601478243978244,0.601478243978244,0.601478243978244,0.601478243978244,0.601478243978244,0.601478243978244,0.601478243978244
SPANISH,0.6430465367965368,0.6430465367965368,0.6430465367965368,0.6430465367965368,0.6430465367965368,0.6430465367965368,0.6430465367965368,0.6430465367965368
TURIA_AROMANIAN,0.7784704184704184,0.7784704184704184,0.7784704184704184,0.7784704184704184,0.7784704184704184,0.7784704184704184,0.7784704184704184,0.7784704184704184
VALENCIAN,0.6489231601731602,0.6489231601731602,0.6489231601731602,0.6489231601731602,0.6489231601731602,0.6489231601731602,0.6489231601731602,0.6489231601731602
VLACH,0.7294899544899545,0.7294899544899545,0.7294899544899545,0.7294899544899545,0.7294899544899545,0.7294899544899545,0.7294899544899545,0.7294899544899545
Proto-Romance,0.5231926406926407,0.5498593073593073,0.541525974025974,0.6054942279942279,0.5364123376623378,0.499745670995671,0.6054942279942279,0.5364123376623378
