,concept,language,word,ID,cc
188,come,SICILIAN_UnnamedInSource,veniri,188,come:2
189,come,SPANISH,veni,189,come:2
190,come,VLACH,gini,190,come:13
191,I,ALBANIAN_GHEG,un3,191,I:0
192,I,ALBANIAN,un3,192,I:0
193,I,ALBANIAN_TOSK,un3,193,I:0
194,I,ARAGONESE,yo,194,I:1
195,I,ARPITAN,Z3,195,I:2
196,I,ASTURIAN,yo,196,I:3
197,I,BALEAR_CATALAN,jo,197,I:4
198,I,CATALAN,Zo,198,I:5
199,I,CATALAN_2,Zo,199,I:5
200,I,CORSICAN,eyu,200,I:6
201,I,DALMATIAN,yu,201,I:7
202,I,EMILIANO_CARPIGIANO,mE,202,I:8
203,I,EMILIANO_FERRARESE,mi,203,I:9
204,I,EMILIANO_REGGIANO,me,204,I:10
205,I,FRENCH,j3,205,I:2
206,I,FRIULIAN,yo,206,I:11
207,I,GASCON,jo,207,I:4
208,I,ITALIAN,io,208,I:12
209,I,ITALIAN_GROSSETO_TUSCAN,io,209,I:13
210,I,JUDEO_ESPAGNOL,yo,210,I:14
211,I,LIGURIAN_GENOESE,mi,211,I:9
212,I,LIGURIAN_RAPALLO,mi,212,I:9
213,I,LIGURIAN_STELLA,mi,213,I:9
214,I,LOMBARD_BERGAMO,me,214,I:10
215,I,LOMBARD_PLESIO,mi,215,I:9
216,I,NEAPOLITAN_CALABRESE,iy3,216,I:15
217,I,NONES,mi,217,I:9
218,I,NONES_FASSANO,Ze,218,I:16
219,I,NONES_GARDENESE,ye,219,I:17
220,I,OCCITAN_ARANESE,Zu,220,I:18
221,I,PIEMONTESE_BARBANIA,mi,221,I:9
222,I,PIEMONTESE_CARMAGNOLA,mi,222,I:9
223,I,PIEMONTESE_LANZO_TORINESE,mi,223,I:9
224,I,PIEMONTESE_VERCELLESE,mi,224,I:9
225,I,PORTUGUESE,eu,225,I:19
226,I,ROMAGNOL_RAVENNATE,me,226,I:10
227,I,ROMANIAN_2,ew,227,I:20
228,I,ROMANIAN_MEGLENO,yo,228,I:21
229,I,ROMANSH_GRISHUN,yaw,229,I:22
230,I,ROMANSH_SURMIRAN,i3,230,I:23
231,I,ROMANSH_SURSILVAN,yEu,231,I:24
232,I,ROMANSH_VALLADER,Ew,232,I:25
233,I,SARDINIAN,deo,233,I:26
234,I,SARDINIAN_CAMPIDANESE,dEw,234,I:27
235,I,SARDINIAN_LOGUDARESE,deo,235,I:26
236,I,SICILIAN_UnnamedInSource,iu,236,I:28
237,I,SPANISH,yo,237,I:29
238,I,TURIA_AROMANIAN,yo,238,I:30
239,I,VALENCIAN,yo,239,I:31
240,I,VLACH,eu,240,I:19
241,you,ALBANIAN_GHEG,yu,241,you:0
242,you,ALBANIAN,ju,242,you:1
243,you,ALBANIAN_TOSK,ti,243,you:2
244,you,ARAGONESE,tu,244,you:3
245,you,ARPITAN,t3,245,you:4
246,you,ASTURIAN,tu,246,you:3
247,you,BALEAR_CATALAN,tu,247,you:3
248,you,CATALAN,tu,248,you:3
249,you,CATALAN_2,tu,249,you:3
250,you,CORSICAN,tu,250,you:3
251,you,DALMATIAN,tu,251,you:3
252,you,EMILIANO_CARPIGIANO,tE,252,you:5
253,you,EMILIANO_FERRARESE,ti,253,you:2
254,you,EMILIANO_REGGIANO,te,254,you:6
